geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,132.57,134.55,134.79,134.95,136.47,139.46,143.13,144.63,145.59,147.35,149.38,148.58,149.31,154.35,157.2,159.49,160.46,161.18,160.22,164.95,166.93,168.01,162.57,172.53,187.62,197.14,207.56,219.58,232.59,248.24,262.62,272.72,285.07,300.85,317.58,340.08,354.57,373.09,391.62,421.21,439.94,509.98,507.95,526.98
ago,Angola,221.16,230.27,239.38,247.61,252.53,263.15,277.48,286.32,295,318.58,319.96,327.9,336.97,354.47,373.47,374.6,348.32,351.01,401.16,434.69,451.06,479.49,506.19,531.02,564.38,601.31,680.71,752.24,828.49,912.13,991.36,1066.03,1137.3,1271.5,1436.29,1498.59,1468.2,1475.87,1554.46,1676.87,1767.39,1959.8,2337.63,2635.91
alb,Albania,81.75,84.15,86.94,90,92.75,96.75,96.92,96.65,98.1,101.62,103.61,102.05,102.11,103.21,103.91,110.56,115.98,116.38,126.89,129.46,138.61,142.05,152.35,165.7,171.07,172.74,176.06,164.74,171.86,174.36,178.07,179.81,185.69,193.8,202.68,212.32,220.15,229.59,226.54,230.75,228.48,238.98,246.24,217.28
and,Andorra,2.64,2.83,3.02,3.21,3.43,3.66,3.89,4.15,4.43,4.67,4.93,5.21,5.53,5.94,6.15,6.42,6.77,7.11,7.45,7.77,8.13,8.5,8.93,9.3,9.61,9.75,10.01,10.43,10.78,11.08,11.34,10.5,10.32,10.52,10.87,11.26,11.54,12.07,12.57,13.18,13.49,14.28,15.29,16.01
are,UAE,30.4,32.5,34.47,36.58,39.07,41.39,42.7,43.97,45.51,47.43,49.99,52.16,53.9,57.45,60.82,62.31,64.74,68.89,75.82,80.76,88.59,92.29,91.6,93.95,102.76,112.97,118.85,131.48,141.12,149.93,150.58,153.76,155.62,160.64,169.44,175.03,181.95,189.08,195.44,209.47,211.72,217.63,243.18,277.47
arg,Argentina,4000.24,4148.94,4210.19,4433.08,4629.76,4638.46,4692.49,4939.54,5151.51,5199.36,5394.49,5458.22,5603.23,5743.71,5740.08,6001.67,6184.11,6350.06,6564.43,6656.51,6588.82,6758.1,6852.37,7150.87,7083.78,7117.91,7102.21,7328.21,7088.67,7160.96,7387.01,7347.62,7385.38,7545.65,7496.74,7630.26,7842.86,7798.74,7594.48,7680.9,7325.36,7786.14,8625.47,8191.48
arm,Armenia,262.77,265.72,263.63,271.23,288.19,301.81,316.57,333.98,312.16,393.13,442.99,456.52,475.94,487.52,485.67,488.81,509.06,524.74,553.32,575.03,577.63,585.7,604.65,615.49,606.52,549.12,538.13,559.47,567.87,580.9,585.27,578.7,576.01,539.09,526.78,535.94,519.21,513,504.71,529.85,519.15,517.27,491.34,425.71
atg,Antigua and Barbuda,7.17,7.17,7.18,7.21,7.16,7.15,7.11,7.25,7.14,7.81,8.16,8.09,8.28,8,8.49,8.67,8.82,8.69,8.61,8.89,9.75,9.82,10.35,10.51,10.82,10.85,10.66,11.07,11.2,11.41,12.01,12.5,12.93,13.09,13.62,14.1,14.7,15.43,15.8,16.06,16.4,16.79,17.83,18.8
aus,Australia,1991.46,2073.16,2186.5,2264.17,2371.99,2428.61,2440.64,2521.87,2626.28,2723.92,2722.94,2756.3,2784.19,2877.99,2935.63,2940.44,2949.93,2907.3,2889.29,2860.26,2869.19,2931.55,3035.32,3077.59,3061.24,3056.17,3040.91,3100.67,3200.14,3170.69,3230.79,3268.52,3223.97,3224.91,3262.77,3348.92,3362.92,3356.69,3439.35,3604.66,3482.6,3619.82,3688.16,3742.12
aut,Austria,1615.45,1630.34,1641.84,1670.41,1704.5,1759.25,1783.83,1813.77,1826.4,1839.61,1855.94,1856.39,1874.84,1871.76,1856.32,1855.5,1822.28,1778.17,1740,1720.7,1748.15,1710.97,1718.79,1736.4,1720.03,1744.24,1748.76,1725.85,1738.54,1779.78,1753.14,1732.61,1780.32,1788.16,1769.36,1812.97,1774.3,1788.15,1812.84,1825.55,1852.68,1828.02,1915.18,1902.84
aze,Azerbaijan,406.19,419.7,436.13,457.18,476.94,495,509,519.04,520.01,517.27,515.98,528.78,550.39,572.28,580.67,580.29,577.51,571.97,567.67,565.98,556.95,548.07,552.99,564.95,573.8,591.46,616.56,634.91,656.62,677.01,693.38,703.68,709.83,722.62,741.57,759.59,788.45,815.42,846.49,927.59,1012.73,1012.92,861.85,893.15
bdi,Burundi,178.35,185.61,192.95,198.62,204.02,210.71,214.35,214.96,212.87,209.52,207.55,204.04,201.74,202.41,195.76,192.48,194.71,192.24,186.5,183.37,181.44,176.85,172.62,168.96,172.14,178.3,185.36,196.48,211.15,222.83,237.95,258.42,279.35,295.87,318.33,346.18,373.49,405,433.76,473.64,501.16,583.87,639.07,726.33
